GPU_Configuration,GPU_Count,GPU_Type,GPU_Power_per_Unit_kW,Cluster_Power_kW,Max_Load_Step_kW,Generator_Manufacturer,Generator_Model,Generator_Power_kW,Generator_Type,Load_Acceptance_pct,Load_Acceptance_kW,Step_Within_Limit,Compatibility_Risk,Required_BESS_Type,Required_BESS_Power_kW,Notes
Small_Cluster_H100_PCIe,4,H100_PCIe,3.5,14,14,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,No_BESS,0,Safe: Fast-response generator can handle 100% block load. No-BESS viable with proper controls.
Small_Cluster_H100_PCIe,4,H100_PCIe,3.5,14,14,Caterpillar,G3516C_Island_Mode,1660,Natural_Gas_Fast_Response,75,1245,TRUE,GREEN,Buffer,50,Safe: Fast-response generator with 75% acceptance. Buffer BESS recommended for ride-through.
Medium_Cluster_H100_PCIe,16,H100_PCIe,3.5,56,56,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,Buffer,50,Safe: Fast-response generator can handle step. Buffer BESS for ride-through.
Medium_Cluster_H100_PCIe,16,H100_PCIe,3.5,56,56,Caterpillar,CG170-16,1560,Natural_Gas,20,312,TRUE,GREEN,Buffer,50,Safe: CG170 can handle 20% step (312kW > 56kW). Buffer BESS recommended.
Medium_Cluster_H100_PCIe,16,H100_PCIe,3.5,56,56,Caterpillar,G3516C_Island_Mode,1660,Natural_Gas_Fast_Response,75,1245,TRUE,GREEN,Buffer,50,Safe: Fast-response generator can handle step. Buffer BESS for ride-through.
Large_Cluster_H100_PCIe,64,H100_PCIe,3.5,224,224,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,Buffer,75,Safe: Fast-response generator can handle step. Buffer BESS for ride-through.
Large_Cluster_H100_PCIe,64,H100_PCIe,3.5,224,224,Caterpillar,CG170-16,1560,Natural_Gas,20,312,TRUE,GREEN,Buffer,75,Safe: CG170 can handle 20% step (312kW > 224kW). Buffer BESS recommended.
Large_Cluster_H100_PCIe,64,H100_PCIe,3.5,224,224,Caterpillar,CG260-16,4300,Natural_Gas_CG260,16,688,TRUE,GREEN,Grid_Forming,300,Large generator with multi-step ramp. Grid-forming BESS recommended for islanded operation.
Very_Large_Cluster_H100_PCIe,142,H100_PCIe,3.5,497,497,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,Buffer,100,Safe: Fast-response generator can handle step. Buffer BESS for ride-through.
Very_Large_Cluster_H100_PCIe,142,H100_PCIe,3.5,497,497,Caterpillar,CG260-16,4300,Natural_Gas_CG260,16,688,FALSE,YELLOW,Grid_Forming,400,Marginal: CG260 first step (688kW) exceeds GPU step (497kW) but multi-step required. Grid-forming BESS recommended.
Very_Large_Cluster_H100_PCIe,142,H100_PCIe,3.5,497,497,Caterpillar,CG170-16,1560,Natural_Gas,20,312,FALSE,RED,Grid_Forming,500,Unsafe: CG170 cannot handle 497kW step (312kW acceptance). Grid-forming BESS required.
Very_Large_Cluster_H100_PCIe,142,H100_PCIe,3.5,497,497,Standard,Natural_Gas_Standard,1000,Natural_Gas,30,300,FALSE,RED,Grid_Forming,500,Unsafe: Standard natural gas (30% acceptance) cannot handle 497kW step. Grid-forming BESS required.
Very_Large_Cluster_H100_PCIe,142,H100_PCIe,3.5,497,497,Standard,Diesel_Standard,1000,Diesel,70,700,TRUE,GREEN,Buffer,75,Safe: Diesel generator (70% acceptance) can handle step. Buffer BESS for ride-through.
Massive_Cluster_H100_PCIe,571,H100_PCIe,3.5,1998.5,1998.5,Caterpillar,CG260-16,4300,Natural_Gas_CG260,16,688,FALSE,RED,Grid_Forming,600,Unsafe: CG260 first step (688kW) cannot handle 1998.5kW step. Grid-forming BESS required.
Massive_Cluster_H100_PCIe,571,H100_PCIe,3.5,1998.5,1998.5,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,FALSE,YELLOW,Grid_Forming,500,Marginal: Fast-response generator (2500kW) close to GPU step (1998.5kW). Grid-forming BESS recommended for safety margin.
Massive_Cluster_H100_PCIe,571,H100_PCIe,3.5,1998.5,1998.5,Caterpillar,CG260-16,4500,Natural_Gas_CG260,16,720,FALSE,RED,Grid_Forming,600,Unsafe: CG260-16 Upgrade first step (720kW) cannot handle 1998.5kW step. Grid-forming BESS required.
Small_Cluster_H100_SXM,4,H100_SXM,7.0,28,28,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,No_BESS,0,Safe: Fast-response generator can handle 100% block load. No-BESS viable with proper controls.
Medium_Cluster_H100_SXM,16,H100_SXM,7.0,112,112,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,Buffer,50,Safe: Fast-response generator can handle step. Buffer BESS for ride-through.
Medium_Cluster_H100_SXM,16,H100_SXM,7.0,112,112,Caterpillar,CG170-16,1560,Natural_Gas,20,312,TRUE,GREEN,Buffer,50,Safe: CG170 can handle 20% step (312kW > 112kW). Buffer BESS recommended.
Large_Cluster_H100_SXM,64,H100_SXM,7.0,448,448,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,FALSE,YELLOW,Grid_Forming,400,Marginal: Fast-response generator (2500kW) close to GPU step (448kW). Grid-forming BESS recommended for safety margin.
Large_Cluster_H100_SXM,64,H100_SXM,7.0,448,448,Caterpillar,CG260-16,4300,Natural_Gas_CG260,16,688,TRUE,GREEN,Grid_Forming,300,Large generator with multi-step ramp. Grid-forming BESS recommended for islanded operation.
Large_Cluster_H100_SXM,64,H100_SXM,7.0,448,448,Caterpillar,CG170-16,1560,Natural_Gas,20,312,FALSE,RED,Grid_Forming,500,Unsafe: CG170 cannot handle 448kW step (312kW acceptance). Grid-forming BESS required.
Very_Large_Cluster_H100_SXM,142,H100_SXM,7.0,994,994,Caterpillar,CG260-16,4300,Natural_Gas_CG260,16,688,FALSE,RED,Grid_Forming,500,Unsafe: CG260 first step (688kW) cannot handle 994kW step. Grid-forming BESS required.
Very_Large_Cluster_H100_SXM,142,H100_SXM,7.0,994,994,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,FALSE,YELLOW,Grid_Forming,500,Marginal: Fast-response generator (2500kW) close to GPU step (994kW). Grid-forming BESS recommended for safety margin.
Very_Large_Cluster_H100_SXM,142,H100_SXM,7.0,994,994,Standard,Natural_Gas_Standard,2000,Natural_Gas,30,600,FALSE,RED,Grid_Forming,600,Unsafe: Standard natural gas (30% acceptance) cannot handle 994kW step. Grid-forming BESS required.
